Season,AL,NL
1973.0,0.7078461538461538,0.6984615384615385
1974.0,0.6946923076923078,0.691153846153846
1975.0,0.7043846153846154,0.6966153846153845
1976.0,0.6797692307692309,0.6781538461538461
1977.0,0.7327333333333333,0.7225384615384616
1978.0,0.7077333333333332,0.6976153846153845
1979.0,0.7366666666666667,0.7156923076923077
1980.0,0.7274666666666667,0.7008461538461539
1981.0,0.6916666666666667,0.6847692307692307
1982.0,0.7244666666666666,0.6993846153846154
1983.0,0.7257999999999999,0.7017692307692308
1984.0,0.7216666666666666,0.6877692307692308
1985.0,0.7308666666666668,0.6927692307692307
1986.0,0.7347333333333332,0.702
1987.0,0.7542000000000001,0.7350000000000001
1988.0,0.7108666666666665,0.6740769230769232
1989.0,0.7052666666666667,0.6794615384615383
1990.0,0.7110666666666666,0.7040769230769232
1991.0,0.7188666666666669,0.692846153846154
1992.0,0.7101999999999999,0.684923076923077
1993.0,0.7442,0.7245333333333334
1994.0,0.7795333333333334,0.7464666666666666
1995.0,0.7696000000000001,0.7390666666666665
1996.0,0.7908666666666667,0.7419333333333333
1997.0,0.7664666666666667,0.7418666666666667
1998.0,0.7695625,0.7409375
1999.0,0.7848125,0.7710625
2000.0,0.7907500000000001,0.773125
2001.0,0.7625625,0.7560625
2002.0,0.7520625000000001,0.741125
2003.0,0.76,0.7484375
2004.0,0.7671874999999999,0.7555000000000001
2005.0,0.7528125,0.7443124999999999
2006.0,0.772,0.7613125000000001
2007.0,0.76075,0.7562500000000001
2008.0,0.7541875,0.74375
2009.0,0.76075,0.7390625
2010.0,0.731,0.722625
2011.0,0.7282500000000001,0.7096875
2012.0,0.729125,0.7181249999999999
2013.0,0.7231875000000001,0.7014374999999999
2014.0,0.70575,0.69375
2015.0,0.728,0.715125
2016.0,0.7426875,0.7339375
2017.0,0.7523124999999999,0.7525000000000001
2018.0,0.7340625,0.7233125
2019.0,0.7615624999999999,0.7591875
2020.0,0.7302500000000001,0.7433125
2021.0,0.7291875,0.7284375000000001
2022.0,0.70225,0.7133125
2023.0,0.7268125000000001,0.7411249999999999
2024.0,0.7046875,0.720375
